Nombres,Apellidos,Especialidad,Tel 1,Tel 2,Dirección,Estado
Daniela,Castillo,Pediatría,0946031632,,Calle Sucre N25-178,Activo
Lucía,Díaz,Neurología,0991312794,,Av. Amazonas N67-287,Activo
Miguel,Guerrero,Neurología,0997579070,,Calle Los Pinos N31-295,Activo
Ricardo,Aguilar,Cardiología,0932192398,,Calle Larga N83-277,Activo
Alejandro,Herrera,Medicina General,0988447970,,Av. Patria N49-188,Activo
Sara,González,Cardiología,0978229504,,Calle Larga N35-244,Activo
Pedro,Medina,Cardiología,0988809640,,Calle Los Pinos N35-191,Licencia
Pedro,Cevallos,Dermatología,0996614992,0924897533,Calle Bolivar N60-194,Inactivo
Daniela,Ortega,Neurología,0940470462,,Av. Amazonas N62-214,Activo
andres,padilla,Medicina General,099999999,,Av Genial,Activo
